card_slug,category_slug
rbc-avion-visa-infinite,travel
rbc-avion-visa-infinite,general
rbc-avion-visa-platinum,travel
rbc-avion-visa-platinum,general
rbc-ion-plus-visa,groceries
rbc-ion-plus-visa,dining
rbc-ion-plus-visa,gas
rbc-ion-plus-visa,streaming
rbc-cash-back-mastercard,groceries
rbc-cash-back-mastercard,general
westjet-rbc-mastercard,travel
westjet-rbc-mastercard,dining
westjet-rbc-mastercard,general
westjet-rbc-world-elite-mastercard,travel
westjet-rbc-world-elite-mastercard,groceries
westjet-rbc-world-elite-mastercard,gas
westjet-rbc-world-elite-mastercard,transportation
westjet-rbc-world-elite-mastercard,general
rbc-cash-back-preferred-world-elite-mastercard,general
rbc-visa-classic-low-rate,low-interest
rbc-visa-classic-low-rate,general
rbc-ion-visa,groceries
rbc-ion-visa,gas
rbc-ion-visa,streaming
rbc-ion-visa,general
more-rewards-rbc-visa,groceries
more-rewards-rbc-visa,dining
more-rewards-rbc-visa,gas
more-rewards-rbc-visa,general
moi-rbc-visa,groceries
moi-rbc-visa,dining
moi-rbc-visa,gas
moi-rbc-visa,general
rbc-avion-visa-infinite-privilege,travel
rbc-avion-visa-infinite-privilege,general
rbc-british-airways-visa-infinite,travel
rbc-british-airways-visa-infinite,dining
rbc-british-airways-visa-infinite,general
rbc-visa-platinum,general
rbc-us-dollar-visa-gold,travel
rbc-us-dollar-visa-gold,general
rbc-rateadvantage-visa,low-interest
rbc-rateadvantage-visa,general
more-rewards-rbc-visa-infinite,groceries
more-rewards-rbc-visa-infinite,dining
more-rewards-rbc-visa-infinite,gas
more-rewards-rbc-visa-infinite,general
